year_month,Country,revenue
2011-02-01,Switzerland,504.25
2011-02-01,United Arab Emirates,77.57
2011-03-01,Australia,372.57
2011-03-01,Austria,142.86
2011-03-01,Belgium,641.33
2011-03-01,Canada,20.63
2011-03-01,Channel Islands,603.2
2011-03-01,Cyprus,121.19
2011-03-01,Denmark,122.21
2011-03-01,EIRE,9099.32
2011-03-01,Finland,1022.74
2011-03-01,France,1735.02
2011-03-01,Germany,2186.09
2011-03-01,Greece,35.69
2011-03-01,Hong Kong,5167.52
2011-03-01,Italy,402.63
2011-03-01,Japan,125.71
2011-03-01,Netherlands,549.47
2011-03-01,Norway,1831.72
2011-03-01,Poland,36.61
2011-03-01,Portugal,334.88
2011-03-01,Saudi Arabia,2.95
2011-03-01,Spain,870.36
2011-03-01,Sweden,92.06
2011-03-01,Switzerland,282.02
2011-04-01,Australia,396.55
2011-04-01,Austria,163.18
2011-04-01,Belgium,388.81
2011-04-01,Brazil,142.6
2011-04-01,Channel Islands,78.10000000000001
2011-04-01,Cyprus,17.9
2011-04-01,Czech Republic,2.94
2011-04-01,EIRE,1228.85
2011-04-01,European Community,87.9
2011-04-01,Finland,269.16
2011-04-01,France,3197.27
2011-04-01,Germany,2083.36
2011-04-01,Greece,161.82
2011-04-01,Hong Kong,113.41
2011-04-01,Iceland,62.29
2011-04-01,Israel,33.75
2011-04-01,Italy,43.62
2011-04-01,Japan,111.17999999999999
2011-04-01,Netherlands,54.93
2011-04-01,Poland,77.59
2011-04-01,Portugal,214.86
2011-04-01,Singapore,12309.61
2011-04-01,Spain,396.65
2011-04-01,Sweden,179.55
2011-04-01,Switzerland,404.11
2011-04-01,USA,74.2
2011-04-01,Unspecified,36.5
2011-05-01,Australia,382.87
2011-05-01,Austria,223.57999999999998
2011-05-01,Bahrain,78.95
2011-05-01,Belgium,504.96
2011-05-01,Canada,1.06
2011-05-01,Channel Islands,811.35
2011-05-01,Denmark,50.66
2011-05-01,EIRE,2656.6
2011-05-01,France,2605.62
2011-05-01,Germany,3079.12
2011-05-01,Hong Kong,217.96
2011-05-01,Italy,60.25
2011-05-01,Japan,31.5
2011-05-01,Netherlands,676.3
2011-05-01,Poland,299.71
2011-05-01,Portugal,7377.82
2011-05-01,Spain,419.66
2011-05-01,Sweden,98.77000000000001
2011-05-01,Switzerland,451.51
2011-05-01,Unspecified,127.32000000000001
2011-06-01,Australia,380.18
2011-06-01,Austria,7.2
2011-06-01,Belgium,814.87
2011-06-01,Canada,162.18
2011-06-01,Channel Islands,355.14
2011-06-01,Cyprus,231.0
2011-06-01,Denmark,314.48
2011-06-01,EIRE,9980.05
2011-06-01,European Community,113.2
2011-06-01,Finland,71.13
2011-06-01,France,1990.25
2011-06-01,Germany,2033.55
2011-06-01,Hong Kong,59.44
2011-06-01,Iceland,53.62
2011-06-01,Italy,116.62
2011-06-01,Japan,4.8
2011-06-01,Malta,175.76
2011-06-01,Netherlands,802.56
2011-06-01,Norway,1521.0700000000002
2011-06-01,Poland,164.98
2011-06-01,Portugal,170.73
2011-06-01,Spain,798.09
2011-06-01,Sweden,174.88
2011-06-01,Switzerland,502.14
2011-06-01,Unspecified,42.1
2011-07-01,Australia,527.91
2011-07-01,Austria,195.54
2011-07-01,Belgium,475.4
2011-07-01,Canada,721.72
2011-07-01,Denmark,43.32
2011-07-01,EIRE,2775.02
2011-07-01,European Community,92.95
2011-07-01,Finland,353.14
2011-07-01,France,1623.51
2011-07-01,Germany,3264.33
2011-07-01,Greece,145.03
2011-07-01,Israel,64.61
2011-07-01,Italy,48.800000000000004
2011-07-01,Japan,73.64
2011-07-01,Netherlands,26.02
2011-07-01,Norway,168.63
2011-07-01,Poland,161.04
2011-07-01,Portugal,200.21
2011-07-01,Singapore,230.46
2011-07-01,Spain,647.63
2011-07-01,Sweden,168.86
2011-07-01,Switzerland,648.91
2011-07-01,Unspecified,627.05
2011-08-01,Australia,242.98
2011-08-01,Austria,279.71
2011-08-01,Belgium,734.29
2011-08-01,Canada,4.99
2011-08-01,Channel Islands,630.44
2011-08-01,Denmark,87.74
2011-08-01,EIRE,4097.89
2011-08-01,Finland,288.79
2011-08-01,France,1818.1299999999999
2011-08-01,Germany,2749.0
2011-08-01,Hong Kong,414.75
2011-08-01,Iceland,68.24000000000001
2011-08-01,Israel,705.33
2011-08-01,Italy,454.15
2011-08-01,Japan,20.79
2011-08-01,Malta,273.42
2011-08-01,Netherlands,815.4399999999999
2011-08-01,Norway,418.15999999999997
2011-08-01,Poland,111.09
2011-08-01,Portugal,52.81
2011-08-01,Spain,901.03
2011-08-01,Sweden,233.9
2011-08-01,Switzerland,915.66
2011-08-01,Unspecified,146.51
2011-09-01,Australia,250.36
2011-09-01,Belgium,683.81
2011-09-01,Channel Islands,209.84
2011-09-01,Cyprus,5.95
2011-09-01,Denmark,169.02
2011-09-01,EIRE,4847.19
2011-09-01,Finland,223.68
2011-09-01,France,3393.72
2011-09-01,Germany,2582.97
2011-09-01,Hong Kong,5307.9
2011-09-01,Israel,72.85
2011-09-01,Italy,106.6
2011-09-01,Japan,2.9699999999999998
2011-09-01,Netherlands,917.17
2011-09-01,Norway,746.67
2011-09-01,Poland,188.85
2011-09-01,Portugal,191.76
2011-09-01,Spain,997.87
2011-09-01,Sweden,112.21000000000001
2011-09-01,Switzerland,673.61
2011-09-01,United Arab Emirates,152.32
2011-09-01,Unspecified,108.43
2011-10-01,Australia,396.06
2011-10-01,Austria,187.15
2011-10-01,Belgium,1069.83
2011-10-01,Channel Islands,286.1
2011-10-01,Cyprus,1036.3600000000001
2011-10-01,Czech Republic,49.379999999999995
2011-10-01,Denmark,126.16
2011-10-01,EIRE,3467.56
2011-10-01,Finland,597.26
2011-10-01,France,15356.95
2011-10-01,Germany,5762.75
2011-10-01,Hong Kong,129.46
2011-10-01,Iceland,120.76
2011-10-01,Israel,87.7
2011-10-01,Italy,732.61
2011-10-01,Japan,32.82
2011-10-01,Netherlands,784.63
2011-10-01,Norway,511.37
2011-10-01,Portugal,2443.56
2011-10-01,RSA,248.1
2011-10-01,Singapore,12305.48
2011-10-01,Spain,1248.16
2011-10-01,Sweden,133.4
2011-10-01,Switzerland,1045.7
2011-10-01,USA,500.57
2011-11-01,Australia,349.04
2011-11-01,Austria,261.99
2011-11-01,Belgium,986.1
2011-11-01,Channel Islands,353.94
2011-11-01,Cyprus,245.99
2011-11-01,Czech Republic,6.9399999999999995
2011-11-01,Denmark,161.26
2011-11-01,EIRE,4608.55
2011-11-01,Finland,606.38
2011-11-01,France,4988.08
2011-11-01,Germany,6194.66
2011-11-01,Hong Kong,652.2
2011-11-01,Italy,1211.46
2011-11-01,Japan,99.23
2011-11-01,Malta,198.87
2011-11-01,Netherlands,621.8
2011-11-01,Norway,740.53
2011-11-01,Poland,198.87
2011-11-01,Portugal,561.24
2011-11-01,Spain,1200.94
2011-11-01,Sweden,341.75
2011-11-01,Switzerland,802.95
2011-11-01,Unspecified,116.10000000000001
2011-12-01,Austria,64.58
2011-12-01,Belgium,274.04
2011-12-01,Channel Islands,24.85
2011-12-01,Cyprus,69.35
2011-12-01,Denmark,35.2
2011-12-01,EIRE,1215.05
2011-12-01,Finland,153.85
2011-12-01,France,1127.25
2011-12-01,Germany,1411.3700000000001
2011-12-01,Greece,163.36
2011-12-01,Iceland,13.54
2011-12-01,Italy,64.45
2011-12-01,Japan,19.68
2011-12-01,Malta,17.96
2011-12-01,Netherlands,201.39000000000001
2011-12-01,Norway,218.43
2011-12-01,Portugal,349.05
2011-12-01,Spain,150.48
2011-12-01,Sweden,11.9
2011-12-01,USA,70.21000000000001
