year_month,Country,Quantity
2011-09-01,Australia,4043
2011-09-01,Belgium,1957
2011-09-01,Channel Islands,763
2011-09-01,Cyprus,33
2011-09-01,Denmark,1608
2011-09-01,EIRE,22915
2011-09-01,Finland,515
2011-09-01,France,12912
2011-09-01,Germany,11028
2011-09-01,Hong Kong,0
2011-09-01,Israel,233
2011-09-01,Italy,48
2011-09-01,Japan,144
2011-09-01,Netherlands,17309
2011-09-01,Norway,4655
2011-09-01,Poland,253
2011-09-01,Portugal,899
2011-09-01,Spain,2681
2011-09-01,Sweden,4344
2011-09-01,Switzerland,4243
2011-09-01,United Arab Emirates,486
2011-09-01,United Kingdom,458490
2011-09-01,Unspecified,258
2011-10-01,Australia,7401
2011-10-01,Austria,491
2011-10-01,Belgium,3156
2011-10-01,Channel Islands,1407
2011-10-01,Cyprus,1382
2011-10-01,Czech Republic,325
2011-10-01,Denmark,831
2011-10-01,EIRE,15596
2011-10-01,Finland,1114
2011-10-01,France,13737
2011-10-01,Germany,17636
2011-10-01,Hong Kong,381
2011-10-01,Iceland,676
2011-10-01,Israel,99
2011-10-01,Italy,1582
2011-10-01,Japan,1124
2011-10-01,Netherlands,27230
2011-10-01,Norway,1692
2011-10-01,Portugal,3284
2011-10-01,RSA,352
2011-10-01,Singapore,599
2011-10-01,Spain,3329
2011-10-01,Sweden,6151
2011-10-01,Switzerland,4856
2011-10-01,USA,489
2011-10-01,United Kingdom,455612
2011-11-01,Australia,4205
2011-11-01,Austria,717
2011-11-01,Belgium,2550
2011-11-01,Channel Islands,714
2011-11-01,Cyprus,300
2011-11-01,Czech Republic,-40
2011-11-01,Denmark,1537
2011-11-01,EIRE,16557
2011-11-01,Finland,1084
2011-11-01,France,17086
2011-11-01,Germany,12922
2011-11-01,Hong Kong,0
2011-11-01,Italy,2019
2011-11-01,Japan,4250
2011-11-01,Malta,176
2011-11-01,Netherlands,18662
2011-11-01,Norway,3408
2011-11-01,Poland,933
2011-11-01,Portugal,1093
2011-11-01,Spain,3454
2011-11-01,Sweden,1962
2011-11-01,Switzerland,3775
2011-11-01,United Kingdom,642281
2011-11-01,Unspecified,641
2011-12-01,Austria,148
2011-12-01,Belgium,1097
2011-12-01,Channel Islands,59
2011-12-01,Cyprus,-6
2011-12-01,Denmark,173
2011-12-01,EIRE,4119
2011-12-01,Finland,349
2011-12-01,France,3631
2011-12-01,Germany,3933
2011-12-01,Greece,236
2011-12-01,Iceland,192
2011-12-01,Italy,45
2011-12-01,Japan,-49
2011-12-01,Malta,-8
2011-12-01,Netherlands,7958
2011-12-01,Norway,2319
2011-12-01,Portugal,1566
2011-12-01,Spain,256
2011-12-01,Sweden,0
2011-12-01,USA,408
2011-12-01,United Kingdom,199907
